timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1533548268931307,6,17,9,-15,-25,-3,-25,-4
1533548268931307,-7,-25,-14,-12,12,-6,13,-1
1533548268932311,4,8,1,5,15,-7,8,-1
1533548268932311,0,-1,8,34,38,4,-15,6
1533548268954277,-4,5,-1,24,-48,4,-3,-1
1533548268954277,-5,-13,-18,-80,-11,2,-31,-5
1533548268955308,-1,16,-2,-16,-9,0,0,1
1533548268955308,-1,-3,6,69,43,8,7,-3
1533548268977339,-2,-10,-7,1,-18,-1,3,3
1533548268977339,5,16,9,-17,-20,4,0,-2
1533548268978338,-6,-18,-18,-51,-19,1,1,2
1533548268978338,-5,2,9,28,75,-7,2,3
1533548268991308,-3,-5,14,49,25,2,3,-5
1533548268991308,0,6,-11,-16,-44,3,4,0
1533548268992339,2,4,-2,-29,10,6,-3,-3
1533548268992339,8,6,4,38,-58,0,1,2
1533548269014277,-10,-20,-7,-60,13,-6,-26,-8
1533548269014277,3,11,14,67,21,-3,48,7
1533548269015307,2,12,-3,-17,-22,-11,-13,2
1533548269015307,-3,-17,1,-8,-1,-1,11,-5
1533548269037338,4,-1,2,17,-31,-2,-4,7
1533548269037338,-7,-13,-11,-41,37,-9,-54,-14
1533548269038338,-2,1,-4,-9,-28,-10,13,2
1533548269038338,-3,19,8,9,-12,-5,-14,-3
1533548269051305,0,-6,6,-2,-99,3,24,2
1533548269051305,3,-2,2,46,110,-13,1,5
1533548269052309,1,-11,-3,-25,-7,-1,-18,-6
1533548269052309,-1,4,6,-10,-22,-4,-11,-5
1533548269074276,-1,5,-9,-10,-22,-5,1,-2
1533548269074276,-2,2,4,18,-51,3,2,1
1533548269075306,6,10,9,37,-13,0,-1,2
1533548269075306,-6,-13,-10,-12,36,4,7,0
1533548269097337,0,-5,-1,-27,-21,3,0,5
1533548269097337,0,2,-3,7,12,-3,13,-2
1533548269098337,-1,8,1,10,42,-7,-7,-1
1533548269098337,1,2,-6,-41,-87,11,0,0
1533548269110275,4,6,5,23,84,1,-77,1
1533548269110275,-1,7,-6,26,-16,2,30,5
1533548269119308,-4,-10,-10,-39,-45,11,-5,0
1533548269119308,-3,-3,5,48,64,-3,8,3
1533548269134338,-3,-1,-3,-45,-28,0,-5,-8
1533548269134338,5,13,6,28,25,9,0,6
1533548269135336,-2,-6,-2,20,-76,7,-7,-5
1533548269135336,-3,-7,-4,16,-19,-4,-10,-3
1533548269157336,1,-7,-15,-39,-13,11,23,1
1533548269157336,3,-2,1,-45,25,-9,-15,-4
1533548269158335,3,2,2,55,-7,-18,13,8
1533548269158335,-2,-3,-1,-36,-16,0,-8,-3
1533548269170274,1,3,2,10,36,4,13,-1
1533548269170274,-5,0,3,23,-76,3,0,5
1533548269179335,-7,-12,-13,-80,70,-6,-9,-5
1533548269179335,6,10,1,28,67,10,1,0
1533548269194335,-1,2,6,41,-25,-10,12,2
1533548269194335,-1,-17,2,1,18,5,1,-15
1533548269195336,-2,-3,-1,-16,-51,-3,-65,-5
1533548269195336,8,7,-2,27,-5,-5,27,6
1533548269217336,-8,-6,-16,-23,19,5,12,3
1533548269217336,-4,-6,4,-18,23,0,-24,-5
1533548269218335,4,11,9,70,7,-4,1,6
1533548269218335,1,-5,-17,-80,-33,-1,-7,-4
1533548269230275,1,-6,0,35,8,-1,-1,0
1533548269230275,1,11,7,-10,64,-4,-36,-7
1533548269239273,-1,-6,1,26,63,17,59,7
1533548269239273,-7,-16,5,28,-16,3,-5,-1
1533548269254336,3,3,-3,-23,-94,-11,17,1
1533548269254336,-2,-3,-9,-16,4,-11,-3,3
1533548269255335,-5,5,1,-13,22,4,-6,-5
1533548269255335,-2,9,11,27,-14,5,-3,-3
1533548269277335,-3,-1,5,-22,14,-10,-2,-4
1533548269277335,1,-2,4,32,-85,-1,4,0
1533548269278335,-4,-15,-15,-35,-10,1,-2,-3
1533548269278335,0,3,0,0,-37,1,-33,-1
1533548269291334,1,-9,6,19,-49,5,77,8
1533548269291334,6,3,0,48,78,-2,1,-7
1533548269299273,0,-2,-4,-50,-7,8,4,4
1533548269299273,0,12,2,-9,33,-4,-5,-2
1533548269314334,-5,-11,-6,-7,-68,2,-15,-3
1533548269314334,-2,-17,-1,-4,-6,9,-15,2
1533548269315334,4,1,1,33,-3,5,18,4
1533548269315334,-1,-8,-6,-17,-15,-12,-16,-1
1533548269337333,2,20,3,-10,32,9,-27,-8
1533548269337333,0,11,14,14,-1,8,26,6
1533548269338333,-5,-10,-10,1,-22,-2,-14,-4
1533548269338333,3,5,-4,-19,-19,-3,8,3
1533548269350271,0,-2,8,69,52,4,-3,0
1533548269350271,-2,3,-1,-48,-60,1,-2,-1
1533548269359334,4,11,9,30,18,6,0,-1
1533548269359334,-2,-10,-15,-83,-72,7,24,-1
1533548269374333,0,1,9,32,74,6,-19,-4
1533548269374333,-4,-10,-7,32,31,17,0,0
1533548269375334,1,-4,4,-26,-66,-5,41,1
1533548269375334,-1,3,6,23,-13,-8,0,-4
1533548269397301,0,0,-10,-45,0,1,-11,-3
1533548269397301,-3,-9,-2,-17,2,5,10,4
1533548269398333,0,-2,-1,20,46,-11,-9,-3
1533548269398333,2,1,-1,30,45,-6,-9,1
1533548269410271,1,2,-1,-12,-15,2,5,-3
1533548269410271,2,7,-4,-11,-23,-20,-8,1
1533548269419332,0,7,5,45,22,-8,-12,0
1533548269419332,-5,5,-7,-99,-70,2,15,4
1533548269434332,-3,-17,1,98,90,-15,-37,-10
1533548269434332,-5,-10,-7,-25,-32,-1,57,7
1533548269435333,2,9,6,43,-19,-5,-6,4
1533548269435333,-1,1,-9,-72,-9,2,1,-5
1533548269457331,2,11,2,-11,-15,1,3,1
1533548269457331,-1,-5,-10,-4,-3,-7,-28,-2
1533548269458304,1,3,9,17,50,-1,62,2
1533548269458304,1,-1,10,102,69,-21,-11,4
1533548269470270,-3,-1,-8,-80,-28,10,25,5
1533548269470270,1,1,-1,30,0,14,1,-6
1533548269479269,-2,-1,-9,-63,-47,5,-26,-3
1533548269479269,-4,2,1,53,43,11,-8,-2
1533548269494331,-3,-9,-4,-40,16,-7,5,2
1533548269494331,6,21,5,41,28,8,-13,5
1533548269495332,-5,-8,2,-38,-30,3,-10,-6
1533548269495332,1,-4,5,28,22,-1,4,-1
1533548269517332,1,0,-1,14,-43,-1,-7,1
1533548269517332,0,-1,-4,-4,78,-9,5,2
1533548269518331,1,-1,-2,-33,-2,-6,-21,0
1533548269518331,0,-2,3,29,-8,2,6,5
1533548269539270,-2,9,-1,-28,1,1,6,-2
1533548269539270,-9,-21,0,23,31,-12,-9,-5
1533548269540300,-4,10,-10,-50,-58,1,14,-2
1533548269540300,0,-19,0,-16,-79,1,-47,-4
1533548269554330,-1,0,-6,19,19,0,-2,9
1533548269554330,2,7,2,-5,-68,-4,12,-3
1533548269555331,-3,-2,6,45,57,2,-12,-3
1533548269555331,0,2,0,-16,25,1,-4,-5
1533548269577330,2,2,-10,-34,-76,8,-5,0
1533548269577330,-5,-5,-7,-61,-21,-3,-8,-1
1533548269578330,-1,-11,-5,-2,-50,2,-19,0
1533548269578330,-2,-13,10,41,82,6,18,-1
1533548269599267,5,-8,4,-39,2,-5,1,-1
1533548269599267,1,4,-2,3,-33,2,3,0
1533548269600299,-3,-6,-3,3,-29,-17,6,-3
1533548269600299,-1,11,-1,20,41,4,-1,1
1533548269614331,-6,-19,-8,12,16,5,-2,-4
1533548269614331,5,7,0,-29,-29,-1,-10,-1
1533548269615330,7,13,12,13,22,11,3,6
1533548269615330,-5,7,-12,-9,-20,-9,-58,-11
1533548269637329,-3,9,10,42,17,5,41,6
1533548269637329,-1,-3,-11,-62,-12,-3,-1,-1
1533548269638330,0,-6,4,33,-21,1,-14,-2
1533548269638330,1,-3,-21,-77,-67,2,1,-5
1533548269667329,2,2,7,34,9,-8,15,13
1533548269667329,-3,-10,1,22,14,2,9,-7
1533548269668330,1,1,8,13,28,-10,6,0
1533548269668330,6,4,7,20,39,-4,19,2
1533548269674329,-3,-12,-22,-60,-5,1,-16,-4
1533548269674329,0,0,8,22,8,0,6,4
1533548269675330,-1,0,-5,5,13,-4,-3,0
1533548269675330,-3,5,6,11,-10,1,7,1
1533548269697329,1,8,9,13,-38,-3,-5,-3
1533548269697329,-5,-11,-15,-15,52,-26,-23,0
1533548269698329,-2,-1,-1,-14,-18,-2,-12,-5
1533548269698329,2,12,-3,-10,52,5,19,6
1533548269719267,-4,-4,10,42,50,-6,-4,-7
1533548269719267,-1,-4,1,23,13,-5,5,3
1533548269720297,-2,-1,-7,-19,13,-3,-15,-9
1533548269720297,6,8,-7,-15,-11,-4,17,6
1533548269734328,-2,-8,7,31,31,9,2,-3
1533548269734328,5,9,17,69,9,-2,-7,3
1533548269735329,0,-2,-9,-49,-13,-2,-13,7
1533548269735329,0,0,-2,31,-32,1,54,-3
1533548269757327,-4,-7,-23,-81,-30,-2,-34,-10
1533548269757327,-3,-1,12,-1,-49,1,-4,-2
1533548269758328,2,8,4,46,0,-9,17,5
1533548269758328,-3,-13,1,-41,-50,0,-16,-5
1533548269779264,3,5,13,61,53,-11,-7,-1
1533548269779264,2,6,-4,-6,-13,-7,15,1
1533548269780296,-3,1,12,3,-29,-8,0,-3
1533548269780296,-6,-8,-8,-36,16,-1,-1,-4
1533548269794328,0,-8,-5,-6,-11,6,1,-4
1533548269794328,2,-3,4,34,28,-5,-5,-3
1533548269795327,1,3,6,-7,14,-2,-11,-1
1533548269795327,0,0,3,28,-21,-8,4,6
1533548269817328,-1,7,-3,-31,2,-8,-3,-5
1533548269817328,5,7,5,15,-11,-7,1,-1
1533548269818328,-2,-5,-10,-15,18,-3,4,4
1533548269818328,-3,-6,8,27,-22,-4,21,0
1533548269839263,3,17,19,39,50,-2,-7,3
1533548269839263,-9,-13,-20,-69,-39,-1,-7,-4
1533548269840295,1,2,-6,-23,6,-1,-16,-8
1533548269840295,2,2,4,6,-31,-1,8,15
1533548269854326,-5,-7,-4,24,-28,-12,-6,-18
1533548269854326,-4,-4,-6,9,-19,4,-47,-12
1533548269855327,-5,-12,-20,-28,-1,4,32,4
1533548269855327,-2,-13,-3,-9,11,-9,-12,-2
1533548269877264,6,11,7,30,-14,2,12,10
